test, size, density, tree, randomized, frederickson, even, nagamochi
1, 1000, 0.1, path, 1151184, 128437088, 15442352, 32329728
2, 1000, 0.1, path, 1151184, 128058648, 15395664, 32231592
3, 1000, 0.1, path, 1151184, 132661676, 15420648, 32261776
1, 1000, 0.1, star, 1464152, 164377104, 34967204, 60463264
1, 1000, 0.1, starlike, 1194739, 141601957, 20564103, 44926554
2, 1000, 0.1, starlike, 1117008, 127943580, 15457288, 35669017
3, 1000, 0.1, starlike, 1377840, 151512144, 24234092, 50575248
4, 1000, 0.1, starlike, 1338384, 141987094, 22932708, 46839100
1, 1000, 0.1, caterpillar, 1258440, 135292528, 16161184, 32784840
2, 1000, 0.1, caterpillar, 1320600, 134535916, 17720244, 34610770
1, 1000, 0.1, lobster, 1439616, 205537803, 32064611, 66562939
2, 1000, 0.1, lobster, 1388864, 152002749, 25304442, 57452298
3, 1000, 0.1, lobster, 1395872, 161136341, 26503652, 60652008
4, 1000, 0.1, lobster, 1465056, 202416204, 34568860, 69041320
1, 1000, 0.1, random, 1323264, 147249498, 20296068, 43906468
