test, size, density, tree, randomized, frederickson, even, nagamochi
1, 1000, 0.1, path, 2, 2, 2, 2
2, 1000, 0.1, path, 2, 2, 2, 2
3, 1000, 0.1, path, 2, 2, 2, 3
1, 1000, 0.1, star, 677, 998, 502, 1028
2, 1000, 0.1, star, 674, 998, 502, 1026
1, 1000, 0.1, starlike, 207, 243, 127, 263
2, 1000, 0.1, starlike, 12, 12, 7, 13
3, 1000, 0.1, starlike, 407, 521, 263, 551
4, 1000, 0.1, starlike, 313, 383, 194, 388
1, 1000, 0.1, caterpillar, 60, 64, 33, 69
2, 1000, 0.1, caterpillar, 266, 318, 161, 420
1, 1000, 0.1, lobster, 619, 883, 444, 920
2, 1000, 0.1, lobster, 482, 650, 327, 705
3, 1000, 0.1, lobster, 494, 662, 333, 697
4, 1000, 0.1, lobster, 663, 974, 488, 976
1, 1000, 0.1, random, 289, 352, 178, 379
2, 1000, 0.1, random, 298, 366, 184, 388
