test, size, density, tree, randomized, frederickson, even, nagamochi
1, 1000, 0.1, path, 83.366206407547, 2.60209321975708, 40.00594663619995, 376.362163066864
2, 1000, 0.1, path, 66.73788523674011, 2.7595643997192383, 40.82790517807007, 377.6498248577118
3, 1000, 0.1, path, 65.24079656600952, 13.2366783618927, 42.55727410316467, 378.0137746334076
1, 1000, 0.1, star, 5.55237889289856, 47.37836670875549, 70.56900930404663, 199.48473024368286
1, 1000, 0.1, starlike, 196.69230794906616, 17.400898694992065, 16.559967041015625, 355.7352750301361
2, 1000, 0.1, starlike, 168.92980027198792, 7.244854211807251, 14.009586811065674, 371.99284863471985
3, 1000, 0.1, starlike, 62.37194275856018, 21.467668056488037, 26.801483869552612, 285.3850920200348
4, 1000, 0.1, starlike, 153.06356644630432, 16.322111129760742, 19.225980520248413, 308.6333751678467
1, 1000, 0.1, caterpillar, 27.938702821731567, 14.552799940109253, 22.09907031059265, 73.99620199203491
2, 1000, 0.1, caterpillar, 6.158493280410767, 15.798102378845215, 50.06432795524597, 147.4139986038208
1, 1000, 0.1, lobster, 6.218282699584961, 202.09183025360107, 151.50556540489197, 526.5140414237976
2, 1000, 0.1, lobster, 82.65087366104126, 19.49859881401062, 108.83171558380127, 378.5150227546692
3, 1000, 0.1, lobster, 205.0697627067566, 45.77558994293213, 118.01584148406982, 390.67654395103455
4, 1000, 0.1, lobster, 6.661880970001221, 136.46090602874756, 102.72256922721863, 608.6462924480438
1, 1000, 0.1, random, 121.69725012779236, 32.93189191818237, 39.688257932662964, 273.23149704933167
